Pág (PDF),Capítulo,Comentario,Corregido,Notas
37,3. Parte central,"Pueden ponerle cualquier nombre, más poético o más descriptivo, pero definitivamente este capítulo no se puede llamar ""parte central"" jajajajaja. Parece como si fuera un nombre genérico de un template. Puede ser algo como ""Generación de mundos"" o lo que sea. Si le ponen un nombre al sistema (EVIE o el que elijan) pueden usar ese nombre acá",TRUE,FASE 1: Cap 3 renombrado a 'Diseño y Arquitectura del Sistema'
37,3. Parte central,"PAYADOR va en mayúscula, recuerden (porque es un acrónimo)",TRUE,FASE 4: Verificado - consistente en todo el documento
37,3. Parte central,"""juego que ofrece el sistema actual."" --- ¿Cuál es el sistema actual?  En todo caso, quizás quieren decir ""mantener o mejorar el desempeño que el sistema PAYADOR ofrece"". Obviamente este comentario que les dejo está relacionado con ese cambio de mentalidad en que esto no es PAYADOR v2 sino otra cosa más sarpada construida usando PAYADOR como ingrediente",TRUE,
37,3. Parte central,"""Este enfoque surgi´o como soluci´on a problemas cr´ıticos observados en aproximaciones m´as directas, "" -- no entendí lo de ""aproximaciones más directas""",TRUE,
37,3. Parte central,"Cuando empiezan a poner los títulos de los componentes que integran la arquitectura, hagan un enganche, tipo ""A continuación mencionaremos cada uno de estos componentes, indicando en qué sección se describirán en profundidad"". Pero además todas estas son contribuciones de ustedes, no estaban en el PAYADOR original, así que pueden incluso decir: ""A continuación mencionaremos cada uno de estos componentes --- que son parte de las contribuciones de este trabajo --- indicando en qué sección se describirán en profundidad"". ",TRUE,FASE 1: Agregado enganche con menciones explícitas a contribuciones y referencias \ref{}
37,3. Parte central,"""responsabilidad creativa"" hay que definirlo y citar algo, puede ser esto: https://ebooks.iospress.nl/doi/10.3233/978-1-61499-098-7-21",TRUE,
37,3. Parte central,"En ""Sistema de representaci´on estructurada"" refieren dos veces a la 3.2.2 ¿está bien eso? Si es así, no lo hagan; reacomoden el párrafo para que se refiera solo una vez. De no ser así, corrijan la referencia :)",FALSE,
37,3. Parte central,"Es un poco raro que mencionen el objetivo ""SOLVE_MYSTERY"" cuando no mencionan a los otros, no dicen cuántos son en total, ni tampoco explican más sobre ese SOLVE_MYSTERY.",TRUE,
38,3. Parte central,"De nuevo hay ejemplos entre paréntesis sin el ""p. ej.:""",TRUE,FASE 3: Agregado 'p. ej.:' a ~20 instancias de listas en paréntesis
38,3. Parte central,"""detallado en la sección XX"" -- faltó enlazar la seccion ahi, y métanle un futuro explícito ""que será detallado""",FALSE,
